message,entities_using_message,total_count,entity_list
33 46 31 0,8,3052.0,Wood|Water|Herbs|Berries|Stone|Rocky Outcrop|Herb Garden|River Crossing
33 37 31 0,7,2985.0,Firewood|Flint|Weapon Cache|Dry Campsite|Riverbank|Animal Migration|Cave
5 30 30 0,5,1518.0,Storm|Frost|Poison Plant|Cliff|Infection
37 31 31 0,3,1011.0,Goat|Deer|Rabbit
31 31 12 0,3,771.0,Cold Night|Thorns|Fever
39 37 31 0,2,970.0,Muddy Water|Mushrooms
46 46 46 0,2,567.0,Lion|Bear
5 39 39 0,2,502.0,Blizzard|Quicksand
31 31 31 0,2,340.0,Fish|Salmon
10 10 10 0,1,537.0,Snake
41 46 46 0,1,535.0,Wolf
39 46 31 0,1,382.0,Supply Cache
9 9 9 0,1,210.0,Squirrel
9 28 28 0,1,209.0,Lizard
2 2 46 0,1,199.0,Berry Patch
